Song_dynamic_complexity,Game_genres_0,Song_bpm,Song_average_loudness,Song_bpm_histogram_second_peak_bpm_median,Song_bpm_histogram_first_peak_bpm_median,Game_playtime,Song_tuning_equal_tempered_deviation,Song_mfcc_zero_mean,Game_rating,Song_onset_rate,Game_genres_1,Song_tuning_frequency,Game_release_date,Song_bpm_histogram_first_peak_bpm_mean,Song_bpm_histogram_second_peak_bpm_mean,Song_danceability
2.21067667007,Strategy,156.253768921,0.954133749008,129,157,1,0.233423605561,-736.84173584,4.51,3.12415957451,Racing,440.508636475,2004,129,85,1.2273311615
7.99319887161,Strategy,140.279327393,0.904474079609,133,140,4,0.167339667678,-729.925354004,3.93,4.42077636719,Strategy,440.763122559,2002,157,120,1.05846560001
2.28064060211,Adventure,80.0595474243,0.958094835281,133,86,0,0.185953229666,-672.56829834,4.26,3.77210283279,Platformer,440.763122559,2021,140,140,1.09298563004
6.156686306,Racing,156.185180664,0.902403116226,133,157,21,0.199991881847,-817.203186035,3.54,2.32731485367,Adventure,434.193115234,2012,157,161,0.966783285141
6.156686306,Arcade,151.647735596,0.909399747849,172,129,5,0.0313436836004,-631.154785156,4.51,3.12415957451,Drama,440.508636475,2004,167,161,1.24075329304
5.80992937088,Racing,128.035903931,0.832726538181,157,140,6,0.185953229666,-759.831115723,4.16,3.39418530464,Platformer,440.763122559,2002,157,120,1.2209738493
3.08961486816,Arcade,140.279327393,0.906586527824,75,117,21,0.270047724247,-631.154785156,4.42,3.77669382095,Racing,441.782684326,2016,117,129,1.05352735519
3.63470578194,Adventure,150.059753418,0.909399747849,75,133,12,0.0323117002845,-644.065124512,3.93,3.77210283279,Simulation,434.193115234,2009,126,133,1.31997942924
2.21067667007,Arcade,85.5425872803,0.902403116226,148,133,0,0.167339667678,-618.064086914,4.26,3.85897874832,Simulation,440.508636475,2009,136,129,1.09298563004
3.11353349686,Action,150.059753418,0.954133749008,152,117,4,0.270047724247,-744.623535156,4.59,2.44762086868,Drama,441.272583008,2011,123,140,1.24075329304
3.24480319023,Arcade,117.718009949,0.902403116226,172,86,7,0.0255864653736,-817.203186035,4.14,3.17846727371,Strategy,441.782684326,2011,117,161,1.15781736374
2.28064060211,Strategy,150.059753418,0.902403116226,75,126,12,0.233423605561,-817.203186035,3.54,2.87289810181,Simulation,440.508636475,2016,86,129,1.16637372971
2.28064060211,Strategy,137.995758057,0.902403116226,148,123,16,0.154264673591,-729.925354004,3.53,3.99734640121,Simulation,441.782684326,2009,133,75,1.05352735519
3.31715202332,Racing,135.904693604,0.125487312675,152,152,16,0.0160731915385,-629.634765625,3.9,4.09518480301,Shooter,434.193115234,2020,167,161,1.09298563004
3.20113444328,Arcade,128.987869263,0.954133749008,152,129,15,0.201590463519,-744.623535156,4.26,3.39418530464,Platformer,440.763122559,2009,167,129,1.35229229927
3.20113444328,Strategy,156.185180664,0.766687095165,133,140,0,0.0255864653736,-603.377075195,3.93,3.17846727371,Arcade,441.782684326,2019,117,157,1.31997942924
7.99319887161,Strategy,135.103179932,0.906586527824,140,136,21,0.207299545407,-679.623291016,4.51,4.09518480301,RPG,440.0,2015,167,123,1.09298563004
2.21067667007,Strategy,151.647735596,0.906586527824,120,80,2,0.0524725168943,-605.468139648,4.12,2.54077482224,Simulation,441.272583008,2021,129,123,1.2209738493
