Second_Song_tuning_equal_tempered_deviation,First_Song_dynamic_complexity,First_Song_bpm_histogram_first_peak_bpm_median,Second_Song_bpm_histogram_second_peak_bpm_mean,First_Song_bpm,First_Song_bpm_histogram_second_peak_bpm_mean,Second_Song_bpm_histogram_first_peak_bpm_median,First_Song_onset_rate,Second_Song_bpm_histogram_second_peak_bpm_median,Second_Song_tuning_frequency,First_Song_danceability,First_Song_bpm_histogram_second_peak_bpm_median,First_Song_average_loudness,Second_Song_dynamic_complexity,Second_Song_danceability,First_Song_bpm_histogram_first_peak_bpm_mean,Second_Song_onset_rate,Second_Song_bpm_histogram_first_peak_bpm_mean,First_Song_mfcc_zero_mean,Second_Song_bpm,First_Song_tuning_equal_tempered_deviation,Second_Song_average_loudness,Second_Song_mfcc_zero_mean,First_Song_tuning_frequency
0.0279399435967,1.56592214108,117,157,115.032249451,133,140,3.38952326775,117,437.465789795,1.4866887331,148,0.125487312675,4.02020406723,1.1288588047,148,4.01706933975,129,-712.931152344,114.477264404,0.00761627079919,0.85369771719,-741.559570313,435.700531006
0.0225880146027,5.02045726776,152,148,96.0649795532,133,108,4.49536466599,172,441.782684326,1.10072731972,126,0.750993251801,2.43840503693,1.12403690815,148,4.37625265121,115,-753.827575684,123.748664856,0.0320834890008,0.655534148216,-669.862243652,449.504882813
0.293664008379,1.56592214108,140,152,153.158203125,148,148,4.22639703751,136,442.293365479,1.22282266617,136,0.858579695225,5.73535060883,1.00200974941,148,3.56540155411,167,-628.952941895,114.477264404,0.0353624671698,0.945490598679,-686.351013184,437.971466064
0.183179989457,5.32146692276,148,152,104.867263794,112,108,3.51759958267,148,441.782684326,1.00711560249,99,0.125487312675,3.65707850456,1.06900918484,140,2.9237818718,117,-630.711975098,123.200813293,0.0320834890008,0.793593168259,-703.079345703,433.441375732
0.193304523826,3.93990492821,126,157,96.5897521973,126,136,2.44762086868,129,434.193115234,1.07439815998,133,0.494703888893,4.4339556694,1.09984493256,148,3.78100585938,148,-692.786560059,123.200813293,0.0043608895503,0.945490598679,-655.038574219,433.441375732
0.0225880146027,3.93990492821,120,157,117.393196106,140,108,2.07518815994,144,439.745910645,1.05752027035,126,0.750045835972,6.09468841553,1.12835288048,140,5.4569067955,167,-679.148010254,129.45501709,0.265661627054,0.899370253086,-653.594482422,441.017791748
0.0631944909692,4.27707195282,148,129,95.8865814209,133,112,3.9178173542,101,447.174194336,0.966783285141,157,0.91804176569,3.65707850456,1.09984493256,140,1.00508475304,117,-630.711975098,156.320404053,0.254998832941,0.890799403191,-653.594482422,435.700531006
0.176786318421,4.07117557526,105,117,125.420906067,99,167,2.07518815994,110,434.193115234,1.09691607952,120,0.842021167278,6.09468841553,1.12403690815,140,2.76872515678,129,-704.985534668,107.047172546,0.00761627079919,0.91522371769,-653.594482422,445.627075195
0.0225880146027,2.21067667007,152,126,96.0649795532,126,129,4.07474851608,157,438.984558105,1.28213441372,91,0.750993251801,2.43840503693,1.47051048279,105,2.74044466019,152,-628.952941895,135.043533325,0.254998832941,0.959043204784,-773.674377441,435.700531006
0.214445605874,3.24480319023,105,144,117.178482056,148,112,2.44762086868,152,434.193115234,1.4866887331,101,0.906586527824,2.70183634758,0.979366838932,126,5.4569067955,117,-671.42175293,107.047172546,0.0657592192292,0.959043204784,-741.559570313,440.763122559
